record_id,region,road_segment,traffic_volume,avg_speed_mph,travel_time_min,congestion_index,incident_reports,weather_condition,day_period
177,Florida,C2,1170,64,102,0.7,0,Rain,Afternoon
178,New York,B2,3725,48,45,0.59,1,Clear,Afternoon
179,New York,A2,4790,52,54,0.12,1,Fog,Night
180,Illinois,C2,4278,34,45,0.85,1,Rain,Afternoon
181,California,B1,899,21,86,0.26,2,Snow,Night
182,California,A1,2667,22,58,0.83,1,Rain,Afternoon
183,Texas,C1,601,73,104,0.33,1,Snow,Morning
184,Illinois,C2,967,33,78,0.44,0,Snow,Afternoon
185,New York,C1,2189,41,79,0.85,0,Rain,Afternoon
186,Texas,A2,2010,44,52,0.38,0,Snow,Evening
187,New York,A2,2476,48,85,0.18,1,Fog,Evening
188,Florida,C1,497,44,79,0.54,1,Rain,Afternoon
189,Florida,B1,1231,64,62,0.73,0,Fog,Evening
190,Florida,C1,3010,60,61,0.73,0,Fog,Morning
191,New York,C2,849,19,113,0.82,0,Rain,Morning
192,Texas,A1,3882,55,24,0.76,2,Clear,Afternoon
193,New York,C1,1063,24,113,0.15,1,Rain,Morning
194,New York,B2,1254,29,22,0.98,0,Rain,Evening
195,Texas,A2,2214,75,103,0.62,1,Clear,Afternoon
196,Texas,A2,1122,82,61,0.12,0,Clear,Afternoon
197,Texas,C1,4818,16,52,0.32,0,Rain,Afternoon
198,Florida,B1,1847,15,20,0.48,0,Fog,Morning
199,Texas,B1,221,78,27,0.85,0,Fog,Afternoon
200,California,C2,3767,52,46,0.61,1,Snow,Afternoon
201,New York,B2,2923,32,98,0.99,0,Clear,Afternoon
202,California,C1,4447,51,36,0.38,0,Fog,Evening
203,New York,C1,637,78,51,0.3,0,Rain,Afternoon
204,New York,A2,699,52,91,0.25,1,Clear,Night
205,Illinois,A1,1255,39,5,0.94,1,Clear,Night
206,California,C1,4993,84,56,0.44,0,Clear,Morning
207,Texas,B1,3165,68,15,0.46,0,Snow,Afternoon
208,Texas,B2,1793,38,82,0.55,0,Snow,Afternoon
209,New York,B1,449,82,68,0.57,2,Snow,Morning
210,Illinois,C2,4450,66,51,0.72,0,Fog,Morning
211,Florida,C2,2979,45,72,0.68,1,Rain,Evening
212,Texas,B1,1672,33,36,0.96,1,Clear,Night
213,Florida,B2,1513,65,105,0.72,0,Rain,Afternoon
214,California,C2,4921,63,29,0.88,0,Snow,Evening
215,Texas,A2,1757,65,65,0.54,0,Fog,Night
216,New York,A2,4813,65,94,0.29,0,Fog,Morning
217,Florida,B1,1081,32,23,0.81,1,Clear,Afternoon
218,California,B1,1678,69,90,0.73,0,Clear,Evening
219,Florida,A1,2679,46,30,0.56,1,Fog,Morning
220,Texas,B1,2447,69,80,0.23,1,Fog,Afternoon
221,California,C1,1244,54,75,0.69,0,Clear,Afternoon
222,Florida,A2,1601,74,54,0.69,1,Clear,Night
223,New York,A2,4388,68,113,0.97,0,Snow,Afternoon
224,Texas,C1,905,70,37,0.48,1,Snow,Night
225,California,B1,1447,52,117,0.17,0,Snow,Evening
226,New York,C2,4853,16,45,0.23,1,Rain,Evening
227,New York,C2,3774,39,114,0.46,0,Fog,Morning
228,Florida,C1,4624,84,116,0.77,1,Snow,Morning
229,Florida,A1,1152,67,25,0.38,2,Fog,Afternoon
230,California,B2,978,40,119,0.58,0,Rain,Night
231,Texas,C1,2595,42,116,0.73,1,Snow,Night
232,New York,B1,2607,38,69,0.98,0,Fog,Night
233,California,C2,4984,70,27,0.89,1,Clear,Morning
234,Texas,A2,3899,24,44,0.42,0,Clear,Evening
235,Florida,C1,2680,41,117,0.68,0,Fog,Morning
236,California,B2,949,38,116,0.38,0,Fog,Evening
237,Texas,B1,1498,83,32,0.22,0,Fog,Morning
238,Illinois,A1,2666,31,70,0.2,1,Fog,Evening
239,Illinois,C2,3596,20,26,0.37,1,Fog,Night
240,Illinois,A2,3371,42,70,0.47,2,Snow,Morning
241,Texas,A1,3734,27,37,0.59,1,Snow,Morning
242,Illinois,B1,853,38,63,0.16,0,Fog,Afternoon
243,Texas,A1,2060,17,78,0.57,1,Snow,Evening
244,Florida,A2,2863,26,86,0.15,0,Fog,Morning
245,California,A2,4615,29,69,0.77,0,Rain,Evening
246,California,A2,1189,83,31,0.32,0,Snow,Morning
247,New York,A1,4376,20,43,0.14,0,Snow,Morning
248,New York,A2,4452,44,72,0.99,0,Rain,Evening
249,California,C2,2589,79,106,0.52,0,Snow,Evening
250,Florida,A2,2854,55,26,0.93,1,Clear,Afternoon
251,Illinois,B1,4860,31,101,0.86,1,Clear,Morning
252,Illinois,C1,2402,24,95,0.31,1,Clear,Morning
253,Illinois,C1,4350,43,10,0.11,0,Snow,Evening
254,New York,A2,1178,19,8,0.65,0,Snow,Evening
255,Florida,C1,1617,78,15,0.96,1,Snow,Morning
256,New York,C2,2115,68,69,0.66,0,Snow,Afternoon
257,Florida,A1,2691,51,83,0.54,1,Fog,Afternoon
258,New York,A1,1467,53,48,0.65,3,Rain,Evening
259,New York,C1,1227,23,92,0.69,2,Fog,Morning
260,Illinois,A2,2779,62,24,0.47,1,Snow,Evening
261,Texas,C1,1006,54,112,0.48,1,Rain,Morning
262,California,C2,1618,53,14,0.35,0,Fog,Night
263,Texas,A2,4806,53,84,0.8,1,Fog,Afternoon
264,California,B1,1617,31,82,0.94,0,Rain,Morning
265,California,A1,4859,56,52,0.7,0,Rain,Evening
266,Illinois,A2,1342,50,54,0.49,0,Snow,Morning
267,New York,B2,1021,41,43,0.48,0,Snow,Morning
268,Florida,B1,158,19,110,0.54,0,Rain,Evening
269,Illinois,B1,4326,79,35,0.34,1,Snow,Afternoon
270,Texas,C1,1657,41,91,0.79,0,Fog,Night
271,Florida,A1,485,39,10,0.23,0,Rain,Afternoon
272,Illinois,A1,2467,40,72,0.9,1,Fog,Evening
273,California,A1,2851,48,109,0.73,0,Rain,Afternoon
274,Illinois,A2,4122,47,74,0.78,0,Rain,Night
275,California,B2,723,15,11,0.54,0,Snow,Evening
276,Illinois,C2,4112,35,56,0.1,0,Snow,Night
277,Texas,B1,2183,57,15,0.95,0,Clear,Morning
278,Texas,B2,1721,40,36,0.92,1,Clear,Night
279,Illinois,B1,2501,60,115,0.68,0,Rain,Night
280,Illinois,A2,1067,63,30,0.6,1,Snow,Night
281,Illinois,A2,1965,52,97,0.72,0,Rain,Evening
282,Florida,C2,212,81,77,0.95,0,Fog,Night
283,Florida,A1,1322,75,89,0.9,0,Fog,Evening
284,Illinois,C2,4934,63,37,0.96,0,Rain,Morning
285,Florida,B1,597,79,40,0.7,0,Fog,Morning
286,Texas,A1,4433,30,105,0.39,0,Rain,Evening
287,Florida,A1,4912,38,44,0.25,0,Rain,Night
288,Illinois,B2,1863,73,88,0.36,0,Snow,Afternoon
289,Illinois,A1,1966,32,86,0.31,0,Clear,Morning
290,Texas,A1,388,30,71,0.26,2,Fog,Afternoon
291,Texas,B2,1542,35,49,0.96,0,Clear,Afternoon
292,Florida,B1,3257,30,114,0.75,0,Clear,Evening
293,Florida,C2,961,76,48,0.72,0,Rain,Night
294,Texas,C2,4961,64,32,0.88,0,Fog,Evening
295,Texas,C1,1783,40,118,0.99,0,Rain,Afternoon
296,California,B2,3080,59,11,0.59,1,Clear,Afternoon
297,New York,A1,4700,71,95,0.91,0,Clear,Evening
298,California,C1,2707,28,47,0.68,1,Fog,Morning
299,Texas,B1,1715,82,104,0.19,1,Fog,Evening
300,Texas,B1,787,31,23,0.12,0,Snow,Morning
301,Texas,C1,3884,69,30,0.89,0,Clear,Night
302,Texas,A1,2138,18,25,0.5,0,Rain,Evening
303,New York,A1,1495,45,25,0.52,0,Snow,Morning
304,Texas,C2,2477,70,63,0.17,1,Fog,Evening
305,New York,B1,1535,75,105,0.64,0,Fog,Evening
306,New York,C1,2969,26,102,0.18,0,Fog,Afternoon
307,Florida,B1,385,40,9,0.29,0,Rain,Night
308,Texas,A2,2131,26,62,0.69,1,Rain,Night
309,Texas,B2,879,74,54,0.34,1,Fog,Evening
310,New York,B2,1651,40,85,0.5,1,Clear,Evening
311,California,A1,4111,58,14,0.81,0,Fog,Night
312,Texas,A2,3492,15,71,0.28,1,Rain,Night
313,California,C1,4051,64,26,0.18,0,Fog,Morning
314,Texas,A1,1935,76,47,0.95,0,Fog,Evening
315,Texas,A1,3759,17,28,0.74,0,Rain,Afternoon
316,California,C2,2647,40,90,0.53,0,Fog,Night
317,Illinois,C2,3556,59,45,0.28,0,Snow,Morning
318,New York,A1,774,28,72,0.61,0,Snow,Evening
319,Texas,B2,700,45,83,0.24,0,Clear,Night
320,California,B2,1143,46,118,0.9,0,Fog,Morning
321,New York,B1,3482,67,85,0.29,2,Snow,Morning
322,Texas,C2,3487,19,73,0.77,0,Rain,Morning
323,Florida,A1,332,81,9,0.23,0,Rain,Night
324,Illinois,B1,2243,44,106,0.24,0,Fog,Morning
325,Florida,A2,3320,20,42,0.86,0,Rain,Afternoon
326,Florida,C2,2321,54,82,0.75,0,Rain,Night
327,Illinois,A2,4311,67,111,0.4,0,Fog,Afternoon
328,Texas,C2,977,28,39,0.75,0,Clear,Afternoon
329,Illinois,A2,3644,78,77,0.87,0,Snow,Morning
330,New York,A2,4868,67,95,0.2,0,Clear,Morning
331,New York,C2,2413,24,26,0.95,0,Snow,Afternoon
332,Illinois,C2,4468,71,21,0.32,0,Clear,Afternoon
333,New York,C1,3268,46,89,0.74,2,Fog,Evening
334,California,C1,1316,54,100,0.42,0,Clear,Evening
335,New York,A1,2278,27,67,0.79,0,Clear,Night
336,New York,A1,1885,50,102,0.85,1,Clear,Morning
337,New York,A1,2413,75,119,0.73,1,Clear,Evening
338,California,B1,3695,20,20,0.82,0,Snow,Afternoon
339,Illinois,A1,1931,26,64,0.42,1,Rain,Morning
340,Texas,B1,4879,16,111,0.95,0,Rain,Afternoon
341,Illinois,C1,437,47,83,0.12,1,Snow,Night
342,Illinois,A2,1658,55,65,0.96,0,Snow,Morning
343,New York,A2,1271,72,92,0.67,0,Clear,Morning
344,California,B1,474,43,111,0.76,0,Snow,Morning
345,Florida,B1,1219,18,12,0.77,0,Clear,Evening
346,Florida,C1,849,69,100,0.16,0,Rain,Evening
347,Florida,A1,1169,16,49,0.12,0,Fog,Evening
348,Texas,A2,2919,70,104,0.97,0,Rain,Night
349,Illinois,C2,4029,56,84,0.69,0,Clear,Night
350,New York,A2,4071,71,25,0.33,1,Rain,Evening
351,Florida,A1,109,66,91,0.53,0,Rain,Afternoon
352,Texas,C1,2703,54,26,0.89,1,Snow,Morning
353,California,C2,1912,52,33,0.69,0,Fog,Evening
354,New York,C2,3794,58,114,0.73,0,Rain,Afternoon
355,Texas,C2,266,63,62,0.29,0,Clear,Evening
356,Texas,B1,3789,15,117,0.43,1,Fog,Morning
357,Florida,C1,1150,68,30,0.27,0,Snow,Night
358,New York,C1,4319,23,23,0.12,0,Fog,Night
359,Florida,A2,3306,48,42,0.36,0,Snow,Afternoon
360,Illinois,A1,3437,25,85,0.77,1,Snow,Night
361,New York,B1,3166,82,66,0.63,0,Snow,Morning
362,New York,B2,4657,47,14,0.85,0,Snow,Night
363,Texas,A2,2773,25,8,0.54,0,Rain,Night
364,California,A1,4573,56,77,0.19,0,Rain,Evening
365,Florida,C1,2390,67,63,0.87,0,Snow,Afternoon
366,Illinois,A1,1917,77,53,0.36,0,Fog,Morning
367,Florida,C2,896,71,15,0.23,1,Fog,Evening
368,New York,B2,184,37,25,0.97,0,Clear,Evening
369,New York,B1,3338,33,38,0.35,0,Rain,Morning
370,Texas,B2,3367,71,13,0.6,1,Clear,Evening
371,Texas,B1,4200,20,66,0.87,0,Clear,Night
372,Illinois,C1,1433,46,95,0.22,0,Rain,Night
373,Illinois,B2,157,22,9,0.33,1,Fog,Afternoon
374,California,C2,1841,45,90,0.27,0,Snow,Night
375,Illinois,B2,2123,57,69,0.28,0,Snow,Morning
376,Illinois,B1,611,20,113,0.75,1,Snow,Afternoon
377,Florida,A1,1331,18,85,0.26,1,Clear,Night
378,New York,B2,1718,33,77,0.74,0,Clear,Evening
379,New York,A1,1138,79,21,0.15,0,Fog,Morning
380,Illinois,B1,2070,21,107,0.7,0,Clear,Afternoon
381,Illinois,A1,2018,54,51,0.62,0,Clear,Night
382,Florida,C1,996,55,110,0.41,0,Clear,Afternoon
383,California,A2,3359,29,22,0.85,0,Snow,Afternoon
384,Illinois,B2,4104,34,77,0.14,0,Rain,Evening
385,Florida,A2,1411,82,117,0.6,0,Snow,Morning
386,Florida,C2,3364,58,22,0.21,0,Snow,Morning
387,Illinois,A1,1568,63,72,0.82,0,Snow,Evening
388,New York,A1,4190,30,81,0.86,1,Fog,Night
389,Florida,A1,1166,24,14,0.52,0,Rain,Evening
390,Texas,A2,778,53,20,0.44,1,Snow,Night
391,Illinois,C2,4752,52,79,0.69,0,Clear,Evening
392,New York,C1,3520,44,42,0.23,1,Snow,Morning
393,California,B2,319,61,80,0.91,0,Clear,Morning
394,Florida,B1,1017,83,100,0.21,0,Rain,Morning
395,California,C2,4440,29,52,0.28,1,Clear,Evening
396,Texas,C1,4583,83,25,0.85,0,Clear,Night
397,New York,A2,3547,28,94,0.68,0,Clear,Morning
398,Texas,A1,2077,51,88,0.36,1,Rain,Morning
399,New York,B2,2789,52,113,0.47,0,Clear,Evening
400,California,B2,1031,61,104,0.96,3,Clear,Evening
401,Florida,C2,4737,62,26,0.27,1,Rain,Night
402,California,B1,4320,47,74,0.75,0,Clear,Morning
403,Illinois,B1,3876,28,68,0.67,1,Rain,Afternoon
404,Texas,C1,267,52,24,0.55,0,Clear,Morning
405,Florida,B2,2788,19,111,0.32,0,Fog,Evening
406,New York,B2,2363,65,51,0.14,1,Snow,Afternoon
407,New York,C1,2945,53,56,0.63,0,Fog,Night
408,California,C2,3863,63,16,0.85,0,Fog,Afternoon
409,New York,B2,2362,78,29,0.2,0,Clear,Night
410,Texas,B2,2143,69,22,0.94,1,Clear,Morning
411,New York,A1,4814,30,47,0.94,0,Clear,Evening
412,New York,B1,3716,48,110,0.46,0,Snow,Morning
413,New York,A2,4938,54,75,0.83,0,Snow,Morning
414,Florida,B2,4055,39,72,0.94,0,Fog,Evening
415,Illinois,B1,3792,66,15,0.69,0,Fog,Night
416,Illinois,B2,3944,71,23,0.66,0,Snow,Afternoon
417,Florida,A2,3102,49,54,0.98,0,Snow,Afternoon
418,Illinois,C2,4826,56,76,0.28,0,Rain,Night
419,Illinois,A1,928,18,66,0.82,0,Snow,Morning
420,California,B2,4448,47,93,0.42,0,Clear,Morning
421,Texas,A2,124,68,19,0.7,1,Fog,Morning
422,Florida,A1,263,51,24,0.1,0,Snow,Afternoon
423,Texas,C2,2341,83,97,0.98,0,Rain,Morning
424,California,C1,4877,47,23,0.88,0,Snow,Evening
425,Illinois,C1,3139,25,85,0.86,0,Clear,Morning
426,Illinois,B1,962,49,61,0.3,0,Clear,Morning
427,Illinois,A2,4022,80,97,0.26,0,Snow,Evening
428,New York,C2,3090,37,91,0.19,1,Rain,Morning
429,Florida,C1,4663,76,93,0.38,1,Fog,Evening
430,Illinois,C2,1889,64,40,0.4,0,Fog,Afternoon
431,Texas,B1,2323,42,100,0.18,0,Snow,Night
432,New York,A1,2544,79,6,0.26,1,Clear,Morning
433,Texas,B1,515,33,42,0.75,0,Snow,Morning
434,Texas,C1,4289,77,24,0.69,2,Clear,Morning
435,California,B1,3118,15,43,0.59,0,Fog,Afternoon
436,Texas,B1,3274,47,75,0.33,1,Clear,Morning
437,Illinois,A1,2474,50,62,0.76,1,Clear,Night
438,New York,C2,3729,61,53,0.68,0,Fog,Night
439,Florida,B2,2877,77,70,0.28,1,Fog,Evening
440,California,A2,2152,39,57,0.29,0,Snow,Evening
441,California,A2,1970,66,65,0.82,1,Clear,Morning
442,Texas,B1,840,23,11,0.12,0,Snow,Evening
443,New York,A2,1928,30,45,0.43,0,Snow,Night
444,Texas,A2,1368,29,38,0.4,0,Rain,Night
445,Florida,C2,4541,35,31,0.92,0,Rain,Morning
446,Illinois,B1,424,58,109,0.45,0,Clear,Night
447,Illinois,B2,4112,58,14,0.96,1,Snow,Night
448,California,C1,2482,83,23,0.18,1,Rain,Afternoon
449,Illinois,B2,465,76,73,0.35,2,Fog,Evening
450,Illinois,A1,1078,28,102,0.96,1,Fog,Afternoon
451,New York,B2,1607,69,40,0.18,2,Fog,Evening
452,Illinois,A1,3861,83,94,0.54,0,Fog,Morning
453,California,C2,4058,20,37,0.52,1,Fog,Evening
454,New York,A1,4907,65,39,0.99,1,Clear,Afternoon
455,Florida,B2,2150,23,17,0.9,0,Fog,Afternoon
456,Texas,B1,810,20,106,0.66,2,Snow,Morning
457,Florida,B2,427,45,34,0.31,0,Snow,Morning
458,Illinois,B1,496,66,40,0.36,0,Snow,Evening
459,Texas,A2,3140,75,87,0.27,0,Fog,Evening
460,California,B1,1289,51,72,0.58,1,Snow,Evening
461,Texas,A1,1033,45,102,0.3,0,Rain,Night
462,New York,C1,3916,80,70,0.35,1,Clear,Evening
463,Texas,C2,4828,68,115,0.96,0,Rain,Night
464,California,A1,1160,49,60,0.72,0,Fog,Afternoon
465,California,B1,3922,24,104,0.53,1,Fog,Afternoon
466,Texas,C2,4857,78,78,0.26,1,Snow,Evening
467,Florida,B2,263,48,58,0.88,0,Clear,Evening
